Árvore de Busca em Largura a partir do vértice 1000
vértice 724: pai = -1, nível = -1
vértice 725: pai = 726, nível = 13
vértice 726: pai = 4087, nível = 12
vértice 727: pai = -1, nível = -1
vértice 728: pai = 2231, nível = 9
vértice 729: pai = 728, nível = 10
vértice 730: pai = 728, nível = 10
vértice 731: pai = -1, nível = -1
vértice 732: pai = -1, nível = -1
vértice 733: pai = -1, nível = -1
vértice 734: pai = -1, nível = -1
vértice 735: pai = -1, nível = -1
vértice 736: pai = -1, nível = -1
vértice 737: pai = -1, nível = -1
vértice 738: pai = 740, nível = 9
vértice 739: pai = 740, nível = 9
vértice 740: pai = 4029, nível = 8
vértice 741: pai = 740, nível = 9
vértice 742: pai = -1, nível = -1
vértice 743: pai = -1, nível = -1
vértice 744: pai = 745, nível = 12
vértice 745: pai = 1020, nível = 11
vértice 746: pai = -1, nível = -1
vértice 747: pai = -1, nível = -1
vértice 748: pai = -1, nível = -1
vértice 749: pai = -1, nível = -1
vértice 750: pai = -1, nível = -1
vértice 751: pai = 203, nível = 9
vértice 752: pai = 27, nível = 15
vértice 753: pai = 159, nível = 8
vértice 754: pai = 159, nível = 8
vértice 755: pai = 738, nível = 10
vértice 756: pai = 738, nível = 10
vértice 757: pai = 26, nível = 14
vértice 758: pai = 26, nível = 14
vértice 759: pai = 26, nível = 14
